,source,author,title,price
0,https://d7hftxdivxxvm.cloudfront.net?height=290&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F_HT8BK8jQ_mrOXUG3w14PQ%2Flarger.jpg&width=445,Ralph Wickiser,"Sunlight, 1994","US$35,000 "
1,https://d7hftxdivxxvm.cloudfront.net?height=415&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FpPXMgxQleB30NxIYvLQAsw%2Flarger.jpg&width=445,Alberto Biasi,"Si pavoneggia...., 2009","€50,000–€70,000 "
2,https://d7hftxdivxxvm.cloudfront.net?height=370&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F824IHZu33q-itlto09x6sQ%2Flarger.jpg&width=445,Santiago Quesnel,"Debería haberme ido pero me quedé, 2023","US$6,000 "
3,https://d7hftxdivxxvm.cloudfront.net?height=601&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FDMlMMjKKTMbQVWqGwyABWQ%2Flarger.jpg&width=445,Ayisha Harvey,"Bitter, 2017",US$500 
4,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FCeErdOGEDg4LlblcAT3AqQ%2Flarger.jpg&width=445,Ben Aronson,"Taxis on Madison, 2016-2023","US$60,000 "
5,https://d7hftxdivxxvm.cloudfront.net?height=298&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FmzgY94C3XnoQKVB6jQ-slg%2Flarger.jpg&width=445,Curtis Ripley,"Metropolis, 2022","US$14,500 "
6,https://d7hftxdivxxvm.cloudfront.net?height=644&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FJoYlYTs9qOJ__IbvuIEDOg%2Flarger.jpg&width=445,Natascha Schmitten,"Unda II, 2023","€12,500 "
7,https://d7hftxdivxxvm.cloudfront.net?height=500&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FqcrOKaOdK94dYXErkXppgg%2Flarger.jpg&width=445,Hideaki Yamanobe,"Tone Element No. 56, 2013","€1,800 "
8,https://d7hftxdivxxvm.cloudfront.net?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FNLg8xgBgfdaSlzbPDlkAvA%2Flarger.jpg&width=445,Ioana Sisea,"Draw me like one of your French girls 4, 2021","£4,800 "
9,https://d7hftxdivxxvm.cloudfront.net?height=609&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fc-WyMlkqdAYs9Echd7HQRA%2Flarger.jpg&width=445,Dan Alva,"Espionage, 2022","US$12,500–US$16,500 "
10,https://d7hftxdivxxvm.cloudfront.net?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FcTJeGjRvNZ8H26OZZMceTA%2Flarger.jpg&width=445,Clay Parker,"Monster Bunny, 2020","US$6,000 "
11,https://d7hftxdivxxvm.cloudfront.net?height=440&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Frwk5tv8uJix3ZP--F3_NJw%2Flarger.jpg&width=445,Ben Aronson,"White Rose in Glass, 2023","US$8,500 "
12,https://d7hftxdivxxvm.cloudfront.net?height=273&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FEAh5IXO8MlOnyQIroPdzpg%2Flarger.jpg&width=445,Jan Kaláb,"Burning Wave 522, 2022","£10,000–£15,000 "
13,https://d7hftxdivxxvm.cloudfront.net?height=315&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FcI5JZQQbbTQeYGpShqimoQ%2Flarger.jpg&width=445,Simon Hantaï,"Sans titre, 1955","€165,000 "
14,https://d7hftxdivxxvm.cloudfront.net?height=211&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FcuXHbIDOQHYKk4X787dJ6g%2Flarger.jpg&width=445,Rocío Sáenz,"Heroínas (Historias de pandemia)  (Heroines (Pandemic Stories)), 2022","US$2,800 "
15,https://d7hftxdivxxvm.cloudfront.net?height=542&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F8EpnWlV_JiVM9xYYJiqfSg%2Flarger.jpg&width=445,John Hammond,"After the Rain, The Promenade, Cheltenham , ca. 2021","£3,150 "
16,https://d7hftxdivxxvm.cloudfront.net?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F0DpqGjV1PvJbrnYodTM_Kg%2Flarger.jpg&width=445,Heino Schmid,"Bone, 2023","US$5,000 "
17,https://d7hftxdivxxvm.cloudfront.net?height=635&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F5JHXQ8WTTPxYTudOV3ty8A%2Flarger.jpg&width=445,Hilary Doyle,"Autocumuolous Clouds warn a Storm Early Spring II, 2022","US$7,500–US$10,500 "
18,https://d7hftxdivxxvm.cloudfront.net?height=296&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FeOmIQBuQh6vrVvlHFMBpUw%2Flarger.jpg&width=445,Hiro Yokose,"Untitled (#5186), 2010","US$30,000 "
19,https://d7hftxdivxxvm.cloudfront.net?height=654&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FwMsIRqyixS6YIkjN9VDwGQ%2Flarger.jpg&width=445,Natascha Schmitten,"Syn, 2022","€10,000 "
20,https://d7hftxdivxxvm.cloudfront.net?height=440&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FVsNdgSE5nMlxSjD9WElWtQ%2Flarger.jpg&width=445,Magnolia Laurie,"low visibility ahead, 2020","$1,750 "
21,https://d7hftxdivxxvm.cloudfront.net?height=302&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FHKy9P5fVuPeFVytpg5Z2CQ%2Flarger.jpg&width=445,Meriem Delacroix,"Violin #2, 2022","€3,400 "
22,https://d7hftxdivxxvm.cloudfront.net?height=449&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FR7RxJnP-YDlc06x3Bq7FyQ%2Flarger.jpg&width=445,SEEN,"Dick Tracy, 2016","US$30,000–US$40,000 "
23,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F65C-l0nLtGdP2-u5HbXZew%2Flarger.jpg&width=445,Abayomi Joseph,"Euphoric state of mind, 2022","£2,950 "
24,https://d7hftxdivxxvm.cloudfront.net?height=390&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F48xz-oDHdgHKcgMxUCEIxA%2Flarger.jpg&width=445,Ky Anderson,"Dark Garden, 2021","US$4,400 "
25,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FIo-MltQjHO9Dy-mzgUmi6g%2Flarger.jpg&width=445,Israel Vazquez,"El amor no entra partout, 2023","US$1,954 "
26,https://d7hftxdivxxvm.cloudfront.net?height=454&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FVifOLoDElRgDOq8BVvRvBg%2Flarger.jpg&width=445,DEB (b. 1979),"weak in courage, 2022","US$1,500 "
27,https://d7hftxdivxxvm.cloudfront.net?height=454&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fl2gnGkfvWJBuoeTS2s7J9A%2Flarger.jpg&width=445,Lisa Fellerson,"Bahia, 2020","US$3,450 "
