,auction,author,title,medium,price,category,auction_house,painting_date,description,auction_date,image_source
0,eclectic,Andy Warhol,Joseph Beuys,Print,"$8,000 - $12,000",Prints & Graphic Art,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959197075239.jpg
1,eclectic,Laverne Nelson Black,INDIAN HEAD,Oil and pencil on canvasboard,"$4,000 - $6,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959197338596.jpg
2,eclectic,Gopal Ghose,LEONARD ELMHIRST,Ink and pencil on paper,"$500 - $1,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959209504891.jpg
3,eclectic,Henry Moore,SEATED NUDE: HEAD AND SHOULDERS,"Pen and ink, brush and ink, ink wash and chalk on paper","$12,000 - $18,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959209937603.jpg
4,eclectic,David Wojnarowicz,PLANE CRASH,"Acrylic on Masonite, wood and fiberglass construction, in 3 parts","$80,000 - $120,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959210239554.jpg
5,eclectic,Miguel Covarrubias,ADMIRAL RICHARD E. BYRD,Watercolor and colored pencil on paper,"$30,000 - $40,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959210553551.jpg
6,eclectic,Anton Otto Fischer,CLIPPER SHIP,Oil on canvas,"$3,000 - $5,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959210781079.jpg
7,eclectic,Robert Salmon,"A BRITISH BRIG AND FRIGATE, OFF THE MOUTH OF THE MERSEY",Oil on panel,"$8,000 - $12,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959211030903.jpg
8,eclectic,Norman Rockwell,STUDY FOR 'THE THING TO DO WITH LIFE IS LIVE IT!' (OUTRIGGER CANOE),Oil on photograph mounted on board by the artist,"$25,000 - $35,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959211348962.jpg
9,eclectic,Claes Oldenburg,FAG ENDS AND COLOSSAL SLICED STRAWBERRY IN PARK SETTING,Charcoal pastel and watercolor on paper,"$8,000 - $12,000",Works on paper,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959211662392.jpg
10,eclectic,Joseph Decker,STILL LIFE WITH STRAWBERRIES,Oil on canvas,"$25,000 - $35,000",Paintings,Sotheby's | New York,,,"Apr 23, 2020",https://cdn.bidtoart.com/artImage/202007/15959211909903.jpg
