;Image Source;Artwork title;Artist;Lot number;Estimate;Medium;Size (HxWxD);Date of painting;Lot description;Misc;Auction house;Auction sale;Auction date;Category;Exhibited;Provenance;Literature;Price realised;Classification
0;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
1;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
2;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
3;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
4;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
5;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
6;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
7;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
8;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
9;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
10;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
11;https://cdn.bidtoart.com/artImage/202304/apr11_2023/1.jpg;Madietane;Clifford Mpai (South African, 1937 - ?);1;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);6 December 93;"61 by 74 by 3cm including frame; inscribed with the title and the date on the reverse, inscribed with the artist's name and 'Matlala' on a Karen McKerron Gallery label adhered to the reverse, and inscribed with the artist's name, the date and medium Show more";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
12;https://cdn.bidtoart.com/artImage/202304/apr11_2023/2.jpg;Matlala River;Clifford Mpai (South African, 1937 - ?);2;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);3rd March 93;"61 by 74,5 by 3cm including frame; inscribed with the title and the date on the reverse and inscribed with the artist's name, the title, the date and medium on a label adhered to the reverse";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
13;https://cdn.bidtoart.com/artImage/202304/apr11_2023/2.jpg;Matlala River;Clifford Mpai (South African, 1937 - ?);2;ZAR 4,000 - ZAR 6,000;Coloured pencil on paper;50.5 cm - 64 cm (19.88 in - 25.2 in);3rd March 93;"61 by 74,5 by 3cm including frame; inscribed with the title and the date on the reverse and inscribed with the artist's name, the title, the date and medium on a label adhered to the reverse";Signed / Inscribed;Strauss & Co | Online;Modern and Contemporary Art Including a focus on Portrait, Heads and Character Studies;Apr 10, 2023;;;;;;
